City,Date_Updated,Country,Latitude,Longitude,Temperature_Max,Humidity,Cloudiness,Wind_Speed
georgetown,2020-05-27,MY,5.41,100.34,84.2,83,20,3.36
omboue,2020-05-27,GA,-1.57,9.26,80.29,79,100,11.63
alyangula,2020-05-27,AU,-13.85,136.42,60.8,100,42,7.9
hambantota,2020-05-27,LK,6.12,81.12,81.93,81,91,16.8
mount gambier,2020-05-27,AU,-37.83,140.77,50,100,90,8.05
guerrero negro,2020-05-27,MX,27.98,-114.06,70.5,62,27,3.58
mareeba,2020-05-27,AU,-17,145.43,62.6,82,53,11.41
spirit river,2020-05-27,CA,55.78,-118.84,53.6,64,40,12.75
fort nelson,2020-05-27,CA,58.81,-122.7,48.2,87,75,6.93
bethel,2020-05-27,US,41.37,-73.41,73.99,73,75,4.7
leningradskiy,2020-05-27,RU,69.38,178.42,33.17,91,100,5.61
samarai,2020-05-27,PG,-10.62,150.67,80.28,86,6,8.61
ipixuna,2020-05-27,BR,-1.76,-48.8,89.6,59,40,6.93
avarua,2020-05-27,CK,-21.21,-159.78,69.8,88,18,2.24
otane,2020-05-27,NZ,-39.88,176.63,45,86,42,3.11
nanortalik,2020-05-27,GL,60.14,-45.24,37.67,87,95,7.49
busselton,2020-05-27,AU,-33.65,115.33,59,78,0,13.76
merauke,2020-05-27,ID,-8.47,140.33,77.76,87,10,14.14
priyutnoye,2020-05-27,RU,46.1,43.51,71.28,56,1,11.34
bredasdorp,2020-05-27,ZA,-34.53,20.04,60.8,44,42,13.87
deputatskiy,2020-05-27,RU,69.3,139.9,35.15,100,100,4.59
kavaratti,2020-05-27,IN,10.57,72.64,84.88,78,49,14.29
norman wells,2020-05-27,CA,65.28,-126.83,50,71,40,6.93
khatanga,2020-05-27,RU,71.97,102.5,31.08,90,100,10.83
puerto ayora,2020-05-27,EC,-0.74,-90.35,78.8,74,40,5.82
makakilo city,2020-05-27,US,21.35,-158.09,73.4,73,75,8.57
kodiak,2020-05-27,US,57.79,-152.41,41,86,40,4.7
bluff,2020-05-27,NZ,-46.6,168.33,43.72,88,9,5.48
castro,2020-05-27,BR,-24.79,-50.01,64.63,44,0,4.23
sanok,2020-05-27,PL,49.56,22.21,57,94,94,7
lompoc,2020-05-27,US,34.64,-120.46,62.6,93,1,2.46
hobart,2020-05-27,AU,-42.88,147.33,53.6,81,91,9.17
murmashi,2020-05-27,RU,68.82,32.81,60.8,38,100,6.71
geraldton,2020-05-27,AU,-28.77,114.6,60.8,82,90,8.05
byron bay,2020-05-27,AU,-28.65,153.62,60.8,93,15,8.05
port alfred,2020-05-27,ZA,-33.59,26.89,55,75,35,3
dingle,2020-05-27,PH,11,122.67,80.8,75,31,3.06
sisimiut,2020-05-27,GL,66.94,-53.67,34.99,84,32,12.75
hermanus,2020-05-27,ZA,-34.42,19.23,60.01,66,22,7
luderitz,2020-05-27,NA,-26.65,15.16,64.4,52,0,19.46
vangaindrano,2020-05-27,MG,-23.35,47.6,71.91,86,0,9.01
willowmore,2020-05-27,ZA,-33.29,23.49,45.9,56,12,9.04
beloha,2020-05-27,MG,-25.17,45.05,74.34,54,67,10.76
tilichiki,2020-05-27,RU,60.47,166.1,30.07,99,97,4.68
kapaa,2020-05-27,US,22.08,-159.32,73.4,83,40,9.17
tiksi,2020-05-27,RU,71.69,128.87,27.18,96,100,6.13
hithadhoo,2020-05-27,MV,-0.6,73.08,84.02,77,14,11.12
porto novo,2020-05-27,BJ,6.5,2.6,87.8,70,40,17.22
miandoab,2020-05-27,IR,36.97,46.1,87.8,18,0,4.7
celestun,2020-05-27,MX,20.87,-90.4,86.56,65,83,6.38
los llanos de aridane,2020-05-27,ES,28.66,-17.92,77,73,1,6.93
angoche,2020-05-27,MZ,-16.23,39.91,79.32,73,0,12.73
upernavik,2020-05-27,GL,72.79,-56.15,30.09,95,85,2.08
ribeira grande,2020-05-27,PT,38.52,-28.7,68,64,20,10.29
dikson,2020-05-27,RU,73.51,80.55,31.28,98,100,7.38
hualmay,2020-05-27,PE,-11.1,-77.61,70.97,68,2,7.18
aswan,2020-05-27,EG,24.09,32.91,102.2,7,0,8.05
ulaangom,2020-05-27,MN,49.98,92.07,51.98,40,100,18.48
benghazi,2020-05-27,LY,32.12,20.07,70.39,55,0,20.65
moron,2020-05-27,AR,-34.65,-58.62,64.99,52,0,10.29
makaha,2020-05-27,US,21.47,-158.22,78.8,73,75,6.98
vao,2020-05-27,NC,-22.67,167.48,73.45,79,93,11.99
alofi,2020-05-27,NU,-19.06,-169.92,73.4,94,63,4.7
flinders,2020-05-27,AU,-34.58,150.86,52,89,19,1.01
clovis,2020-05-27,US,36.83,-119.7,84,37,20,4.7
torbay,2020-05-27,CA,47.67,-52.73,46,93,90,9.17
port hardy,2020-05-27,CA,50.7,-127.42,48.2,81,20,4.7
manali,2020-05-27,IN,13.17,80.27,89.6,79,40,9.17
bac lieu,2020-05-27,VN,9.29,105.72,85.73,72,100,10.98
bengkulu,2020-05-27,ID,-3.8,102.27,78.3,84,100,8.14
maragogi,2020-05-27,BR,-9.01,-35.22,84.18,73,6,8.5
gat,2020-05-27,IL,31.61,34.76,78.01,57,20,9.17
mizdah,2020-05-27,LY,31.45,12.98,84.63,18,0,16.17
taquarituba,2020-05-27,BR,-23.53,-49.24,68.2,41,0,1.19
tasiilaq,2020-05-27,GL,65.61,-37.64,41,60,75,13.87
gambo,2020-05-27,CF,4.65,22.26,83.43,71,100,0.54
kenai,2020-05-27,US,60.55,-151.26,43,80,90,2.46
lao cai,2020-05-27,VN,22.48,103.95,75.52,79,71,1.07
skelleftea,2020-05-27,SE,64.75,20.95,64,39,100,13.87
saint-pierre,2020-05-27,RE,-21.34,55.48,73.4,78,11,4.7
biak,2020-05-27,ID,-0.91,122.88,79.03,77,12,3.11
fairbanks,2020-05-27,US,64.84,-147.72,46.99,81,90,3.71
saskylakh,2020-05-27,RU,71.92,114.08,29.1,91,80,11.01
mahebourg,2020-05-27,MU,-20.41,57.7,75.2,83,40,11.41
parbhani,2020-05-27,IN,19.27,76.78,96.17,14,57,9.66
dumas,2020-05-27,US,35.87,-101.97,71.01,45,1,8.05
talnakh,2020-05-27,RU,69.49,88.4,39.2,69,75,8.95
kruisfontein,2020-05-27,ZA,-34,24.73,49.82,60,10,5.06
bida,2020-05-27,NG,9.08,6.02,94.75,46,98,2.73
taltal,2020-05-27,CL,-25.4,-70.48,64.15,62,15,4.65
barra de sao francisco,2020-05-27,BR,-18.75,-40.89,76.12,50,0,8.48
kaeo,2020-05-27,NZ,-35.1,173.78,57,3,86,7.94
chapais,2020-05-27,CA,49.78,-74.85,75.2,69,1,8.05
sosnovka,2020-05-27,RU,56.26,51.28,61.92,85,93,10.94
griffith,2020-05-27,US,41.53,-87.42,82,65,40,3.78
itoman,2020-05-27,JP,26.12,127.67,75.2,94,75,3.36
qaanaaq,2020-05-27,GL,77.48,-69.36,31.69,93,48,4.09
broome,2020-05-27,US,42.25,-75.83,81,69,1,5.82
petropavlovka,2020-05-27,RU,50.61,105.32,45.82,57,96,5.61
druzhba,2020-05-27,UA,52.04,33.95,59.86,82,81,4.45
whithorn,2020-05-27,JM,18.26,-78.04,89.01,74,20,12.75
mount isa,2020-05-27,AU,-20.73,139.5,60.8,38,74,3.36
cururupu,2020-05-27,BR,-1.83,-44.87,88.05,60,5,6.35
kiama,2020-05-27,AU,-34.68,150.87,52,93,19,5.44
henties bay,2020-05-27,NA,-22.12,14.28,60.01,82,0,5.99
laguna,2020-05-27,US,38.42,-121.42,79,57,1,3.24
burnie,2020-05-27,AU,-41.07,145.92,55,77,99,3
tortoli,2020-05-27,IT,39.93,9.66,64.4,59,5,28.86
nemuro,2020-05-27,JP,43.32,145.57,46.6,99,100,7.83
sinnamary,2020-05-27,GF,5.38,-52.95,83.59,71,23,12.82
puri,2020-05-27,IN,19.8,85.85,86,79,85,16.11
yarmouth,2020-05-27,US,41.71,-70.23,66.2,82,20,6.93
richards bay,2020-05-27,ZA,-28.78,32.04,58.78,47,13,4.43
poum,2020-05-27,NC,-20.23,164.02,75.65,80,25,8.81
la asuncion,2020-05-27,VE,11.03,-63.86,86,70,69,18.34
vanimo,2020-05-27,PG,-2.67,141.3,79.5,84,86,5.19
nova ushytsya,2020-05-27,UA,48.84,27.27,60.01,66,81,11.01
jacareacanga,2020-05-27,BR,-6.22,-57.75,84.2,74,75,2.24
maryborough,2020-05-27,AU,-25.53,152.7,57.99,81,5,3
kattivakkam,2020-05-27,IN,13.22,80.32,89.6,79,40,9.17
tuktoyaktuk,2020-05-27,CA,69.45,-133.04,24.8,100,90,10.29
goundi,2020-05-27,TD,9.36,17.37,94.96,38,95,1.5
yulara,2020-05-27,AU,-25.24,130.99,55.4,58,40,9.17
aldan,2020-05-27,RU,58.6,125.39,57.61,50,100,3.65
klaksvik,2020-05-27,FO,62.23,-6.59,50,81,94,12.75
bereda,2020-05-27,ES,43.27,-7.54,82,26,0,4
nsoko,2020-05-27,SZ,-27.03,31.95,71.6,30,16,5.82
lavrentiya,2020-05-27,RU,65.58,-171,32.85,95,100,9.84
souillac,2020-05-27,MU,-20.52,57.52,75.2,83,40,11.41
port blair,2020-05-27,IN,11.67,92.75,84.42,80,100,10.13
tuatapere,2020-05-27,NZ,-46.13,167.68,41.76,81,0,2.93
carnarvon,2020-05-27,AU,-24.87,113.63,66.74,50,0,11.45
mayo,2020-05-27,US,38.89,-76.51,73.99,83,1,6.93
veraval,2020-05-27,IN,20.9,70.37,84.52,84,0,14.05
narsaq,2020-05-27,GL,60.92,-46.05,42.8,75,75,6.93
kambove,2020-05-27,CD,-10.88,26.6,69.8,61,84,5.88
taywarah,2020-05-27,AF,33.35,64.42,55.17,43,28,15.01
vadso,2020-05-27,NO,70.07,29.75,53.6,57,100,8.05
muros,2020-05-27,ES,42.78,-9.06,90,57,0,5.99
tessalit,2020-05-27,ML,20.2,1.01,99.16,17,100,5.66
tokur,2020-05-27,RU,53.13,132.9,48.02,62,0,2.46
hue,2020-05-27,VN,16.47,107.6,82.4,88,75,4.7
cam ranh,2020-05-27,VN,11.92,109.16,86,79,40,3.36
oranjemund,2020-05-27,NA,-28.55,16.43,57.6,62,1,15.5
san pedro del parana,2020-05-27,PY,-26.83,-56.2,66.2,67,0,11.41
hamilton,2020-05-27,US,39.18,-84.53,81,65,1,3.36
kavieng,2020-05-27,PG,-2.57,150.8,82.6,72,93,3.83
riberalta,2020-05-27,BO,-10.98,-66.1,85.24,42,0,3.58
tura,2020-05-27,IN,25.52,90.22,71.29,97,27,3.29
aromashevo,2020-05-27,RU,56.86,68.64,55.85,68,76,6.4
wamba,2020-05-27,NG,8.93,8.6,91.6,51,20,5.66
bilibino,2020-05-27,RU,68.05,166.44,32.31,89,2,2.37
berlevag,2020-05-27,NO,70.86,29.09,42.8,87,100,10.29
mar del plata,2020-05-27,AR,-38,-57.56,55.99,82,0,12.75
sciacca,2020-05-27,IT,37.51,13.09,66.99,51,0,21
raga,2020-05-27,SS,8.46,25.68,87.35,47,98,6.08
qobustan,2020-05-27,AZ,40.08,49.41,73.4,64,0,6.93
yining,2020-05-27,CN,29.04,114.56,69.49,83,99,0.51
kalashnikovo,2020-05-27,RU,57.28,35.23,61.07,69,68,4.32
yar-sale,2020-05-27,RU,66.83,70.83,49.28,49,99,5.46
labuhan,2020-05-27,ID,-6.88,112.21,80.87,80,95,3.74
half moon bay,2020-05-27,US,37.46,-122.43,73.99,87,1,4.7
araguaina,2020-05-27,BR,-7.19,-48.21,87.01,57,27,4.79
san cristobal,2020-05-27,VE,7.77,-72.22,89.6,40,40,25.28
yashkul,2020-05-27,RU,46.17,45.34,73.54,44,29,7.65
puerto madryn,2020-05-27,AR,-42.77,-65.04,57.63,37,27,21.77
starodubskoye,2020-05-27,RU,44.56,44.02,68.49,62,43,10.07
east london,2020-05-27,ZA,-33.02,27.91,62.6,36,64,18.34
nanlong,2020-05-27,CN,31.35,106.06,69.13,68,100,4.18
bathsheba,2020-05-27,BB,13.22,-59.52,87.8,66,40,20.8
nizwa,2020-05-27,OM,22.93,57.53,96.62,19,94,1.36
saint anthony,2020-05-27,US,45.02,-93.22,68,77,1,5.82
acapulco,2020-05-27,MX,16.86,-99.89,80.6,69,75,11.41
rocha,2020-05-27,UY,-34.48,-54.33,63,55,0,3.36
esmeraldas,2020-05-27,BR,-19.76,-44.31,68,37,0,5.82
petropavlovsk-kamchatskiy,2020-05-27,RU,53.05,158.65,41,100,75,11.18
tarnogskiy gorodok,2020-05-27,RU,60.5,43.58,54.18,87,97,3.31
codrington,2020-05-27,AU,-38.27,141.97,51.44,93,90,7.54
itarema,2020-05-27,BR,-2.92,-39.92,84.25,73,7,10.94
roald,2020-05-27,NO,62.58,6.13,51.8,76,75,20.8
mokhotlong,2020-05-27,LS,-29.29,29.07,32.97,67,44,2.64
fuling,2020-05-27,CN,29.7,107.39,65.82,84,100,3.65
bani walid,2020-05-27,LY,31.76,13.99,79.25,37,1,25.43
tabatinga,2020-05-27,BR,-4.25,-69.94,82.4,94,40,3.36
grand gaube,2020-05-27,MU,-20.01,57.66,75.99,78,4,7
tazovskiy,2020-05-27,RU,67.47,78.7,41.04,69,2,7.14
nikolskoye,2020-05-27,RU,59.7,30.79,71.01,39,59,11.18
beyneu,2020-05-27,KZ,45.32,55.2,87.96,24,0,13.42
cherskiy,2020-05-27,RU,68.75,161.3,44.65,58,0,14.14
pandan,2020-05-27,PH,14.05,124.17,81.21,84,93,9.24
goderich,2020-05-27,CA,43.75,-81.72,78.01,64,98,1.99
airai,2020-05-27,TL,-8.93,125.41,60.85,100,74,1.41
misratah,2020-05-27,LY,32.38,15.09,71.47,62,1,17.49
alta floresta,2020-05-27,BR,-9.88,-56.09,78.8,57,0,3.36
kalemie,2020-05-27,CD,-5.95,29.19,74.55,75,17,1.86
araouane,2020-05-27,ML,18.9,-3.53,104.72,12,92,3.38
arraial do cabo,2020-05-27,BR,-22.97,-42.03,75.2,53,40,19.46
severo-kurilsk,2020-05-27,RU,50.68,156.12,39.07,88,100,8.16
okhotsk,2020-05-27,RU,59.38,143.3,37.8,83,99,8.5
izmalkovo,2020-05-27,RU,52.69,37.96,58.53,81,36,3.51
kailua,2020-05-27,US,21.4,-157.74,78.8,74,90,3.36
piacabucu,2020-05-27,BR,-10.41,-36.43,87.03,64,31,5.32
kaitangata,2020-05-27,NZ,-46.28,169.85,44.01,90,43,2.57
ratnagiri,2020-05-27,IN,16.98,73.3,82.6,83,33,7.16
la ronge,2020-05-27,CA,55.1,-105.28,41,93,90,11.41
waipawa,2020-05-27,NZ,-41.41,175.52,48.2,87,96,2.24
carutapera,2020-05-27,BR,-1.2,-46.02,87.33,62,19,6.96
mayna,2020-05-27,RU,54.11,47.62,56.48,87,40,5.08
baishishan,2020-05-27,CN,43.58,127.57,46.9,90,34,4.14
bairiki,2020-05-27,KI,1.33,172.98,80.6,83,40,2.24
te anau,2020-05-27,NZ,-45.42,167.72,40.23,80,6,0.6
aksu,2020-05-27,CN,41.12,80.26,81.23,16,0,5.5
ponta delgada,2020-05-27,PT,37.73,-25.67,69.8,64,40,13.87
ornskoldsvik,2020-05-27,SE,63.29,18.72,62.6,27,100,18.34
vilcun,2020-05-27,CL,-38.65,-72.23,53.6,71,73,8.05
qaqortoq,2020-05-27,GL,60.72,-46.03,42.8,75,75,6.93
vilani,2020-05-27,LV,56.55,26.92,62.1,67,98,5.64
garowe,2020-05-27,SO,8.41,48.48,89.49,43,12,9.28
yzeure,2020-05-27,FR,46.56,3.35,77,27,0,10.29
the valley,2020-05-27,AI,18.22,-63.06,87.01,69,40,11.41
kuopio,2020-05-27,FI,62.89,27.68,64.4,45,99,10.29
alice springs,2020-05-27,AU,-23.7,133.88,57.2,58,0,6.93
tarko-sale,2020-05-27,RU,64.92,77.78,54,47,96,8.16
sault sainte marie,2020-05-27,CA,46.52,-84.33,78.8,61,1,4.7
riyadh,2020-05-27,SA,24.69,46.72,102.2,10,0,9.17
buala,2020-05-27,SB,-8.14,159.59,81.09,80,33,7.83
clinton,2020-05-27,US,42.59,-82.92,80.01,83,75,5.82
shingu,2020-05-27,JP,33.73,135.98,64.22,74,100,4.85
sao filipe,2020-05-27,CV,14.9,-24.5,78.96,59,6,5.95
magadan,2020-05-27,RU,59.57,150.8,36.84,79,22,10.96
rio grande,2020-05-27,BR,-32.03,-52.1,62.6,59,4,9.17
pizarro,2020-05-27,CO,4.95,-77.37,80.13,88,100,9.53
victoria,2020-05-27,HK,22.29,114.16,82,83,31,4
gravdal,2020-05-27,NO,68.12,13.5,44.01,76,80,26.06
muzhi,2020-05-27,RU,65.37,64.67,58.69,54,100,3.38
pathein,2020-05-27,MM,16.78,94.73,85.08,76,4,7.65
koraput,2020-05-27,IN,18.82,82.72,84.92,44,96,6.22
pakxe,2020-05-27,LA,15.12,105.78,78.35,86,75,2.21
roanoke rapids,2020-05-27,US,36.46,-77.65,75,94,75,5.82
ponta do sol,2020-05-27,PT,32.67,-17.1,71.6,64,20,6.93
marawi,2020-05-27,PH,8,124.29,77,90,100,5.99
batagay,2020-05-27,RU,67.63,134.63,44.53,68,100,9.48
ambilobe,2020-05-27,MG,-13.2,49.05,73.9,70,0,0.89
genhe,2020-05-27,CN,50.78,121.52,49.46,57,0,4.45
paducah,2020-05-27,US,37.08,-88.6,71.6,88,90,5.82
tarsus,2020-05-27,TR,36.92,34.88,89.6,33,0,11.41
beya,2020-05-27,RU,53.05,90.91,44.67,81,95,1.88
mao,2020-05-27,ES,39.89,4.27,73.4,64,20,12.75
pemba,2020-05-27,MZ,-12.97,40.52,82.4,61,20,9.17
lagoa,2020-05-27,PT,39.05,-27.98,61.95,79,4,17.85
buraydah,2020-05-27,SA,26.33,43.98,102.2,17,16,4.7
nurota,2020-05-27,UZ,40.56,65.69,93.2,16,47,4.7
san policarpo,2020-05-27,PH,12.18,125.51,82.87,82,60,10.22
kodinar,2020-05-27,IN,20.79,70.7,84,84,0,14.61
fomboni,2020-05-27,KM,-12.28,43.74,79.86,63,3,4.16
esperance,2020-05-27,AU,-33.87,121.9,55.4,71,75,14.99
kununurra,2020-05-27,AU,-15.77,128.73,77,57,90,5.82
long beach,2020-05-27,US,33.77,-118.19,61,87,90,4.7
manmad,2020-05-27,IN,20.25,74.45,82.65,39,0,17.07
loralai,2020-05-27,PK,30.37,68.6,86.07,12,17,10.38
nyuksenitsa,2020-05-27,RU,60.41,44.24,53.2,88,85,3.56
tadine,2020-05-27,NC,-21.55,167.88,71.83,83,12,9.6
amapa,2020-05-27,BR,1,-52,87.62,59,63,3.85
verkhneuralsk,2020-05-27,RU,53.88,59.21,73.4,40,40,11.18
rawson,2020-05-27,AR,-43.3,-65.1,57.85,36,91,21.88
bambanglipuro,2020-05-27,ID,-7.95,110.28,75.25,90,100,6.67
aklavik,2020-05-27,CA,68.22,-135.01,39.2,69,75,3.36
harper,2020-05-27,LR,4.38,-7.72,83.95,70,16,10.42
verkhnevilyuysk,2020-05-27,RU,63.45,120.32,47.61,89,100,3.24
ilkal,2020-05-27,IN,15.97,76.13,94.32,34,92,21.41
srednekolymsk,2020-05-27,RU,67.45,153.68,47.21,53,0,10.4
bani,2020-05-27,DO,18.28,-70.33,87.8,66,40,11.41
paraiso,2020-05-27,CR,9.84,-83.87,78.8,65,75,9.17
quelimane,2020-05-27,MZ,-17.88,36.89,86,70,40,4.7
jamkhandi,2020-05-27,IN,16.52,75.3,87.82,52,92,19.82
bambous virieux,2020-05-27,MU,-20.34,57.76,75.99,83,40,11.41
dudinka,2020-05-27,RU,69.41,86.18,39.2,69,75,8.95
chipata,2020-05-27,ZM,-13.63,32.65,70.79,55,80,2.86
teguldet,2020-05-27,RU,57.31,88.17,41.4,79,32,5.64
samfya,2020-05-27,ZM,-11.36,29.56,73.99,52,52,0.18
diamantino,2020-05-27,BR,-14.41,-56.45,80.24,42,0,3.22
key west,2020-05-27,US,24.56,-81.78,87.8,83,40,8.05
monteagudo,2020-05-27,BO,-19.82,-63.98,81.23,21,0,5.73
naze,2020-05-27,JP,28.37,129.48,75.2,88,40,8.05
krasnoselkup,2020-05-27,RU,65.7,82.47,44.8,58,35,8.75
adrar,2020-05-27,MR,20.5,-10.07,104.65,8,0,8.28
haines junction,2020-05-27,CA,60.75,-137.51,45.1,56,59,1.95
kontagora,2020-05-27,NG,10.4,5.47,95.31,39,95,2.62
huarmey,2020-05-27,PE,-10.07,-78.15,72.57,68,38,9.42
ruteng,2020-05-27,ID,-8.61,120.47,64.24,100,86,0.85
inuvik,2020-05-27,CA,68.35,-133.72,39.2,69,75,6.93
barrow,2020-05-27,US,71.29,-156.79,30.2,86,90,5.82
sitka,2020-05-27,US,57.05,-135.33,44.6,81,1,4.34
cairns,2020-05-27,AU,-16.92,145.77,62.6,82,36,11.41
ferrol,2020-05-27,ES,43.48,-8.24,87.8,40,0,9.17
ayan,2020-05-27,RU,56.45,138.17,36.41,97,100,6.24
puerto narino,2020-05-27,CO,-3.77,-70.38,82.4,83,40,4.7
raudeberg,2020-05-27,NO,61.99,5.14,52,84,98,12.97
chimbote,2020-05-27,PE,-9.09,-78.58,72.99,69,98,10.51
santa fe,2020-05-27,AR,-31.63,-60.7,68,53,0,1.99
katherine,2020-05-27,AU,-14.47,132.27,68,60,57,5.82
lata,2020-05-27,PT,40.16,-8.33,88,43,6,4.52
marsa matruh,2020-05-27,EG,31.35,27.25,71.6,60,40,13.87
atbasar,2020-05-27,KZ,51.8,68.33,64.94,49,0,8.9
mirnyy,2020-05-27,RU,62.54,113.96,44.6,75,90,6.31
iquique,2020-05-27,CL,-20.22,-70.14,68,64,75,6.93
yinchuan,2020-05-27,CN,38.47,106.27,72.21,21,0,7.74
el cope,2020-05-27,PA,8.62,-80.6,84.2,77,75,3.36
el prat de llobregat,2020-05-27,ES,41.33,2.09,75.99,50,0,12.75
lumeje,2020-05-27,AO,-11.55,20.78,77.77,42,73,2.19
ugoofaaru,2020-05-27,MV,5.67,73,84.15,79,76,15.86
praia da vitoria,2020-05-27,PT,38.73,-27.07,66.2,77,75,15.95
sur,2020-05-27,OM,22.57,59.53,91.94,51,1,14.47
flin flon,2020-05-27,CA,54.77,-101.86,50,93,90,4.7
clyde river,2020-05-27,CA,70.47,-68.59,26.6,86,90,5.82
gonbad-e qabus,2020-05-27,IR,37.25,55.17,82.4,48,0,5.99
hailar,2020-05-27,CN,49.2,119.7,57.83,39,8,10.54
san juan,2020-05-27,AR,-31.54,-68.54,70.43,23,0,8.7
beringovskiy,2020-05-27,RU,63.05,179.32,34.32,96,100,5.95
nouakchott,2020-05-27,MR,18.09,-15.98,86,48,0,13.87
ayr,2020-05-27,GB,55.46,-4.63,62.6,55,20,5.82
campbell river,2020-05-27,CA,50.02,-125.24,55,62,40,5.82
totness,2020-05-27,SR,5.88,-56.32,84.04,71,98,13.24
chino valley,2020-05-27,US,34.76,-112.45,79,20,1,2.93
port maria,2020-05-27,JM,18.37,-76.89,86,76,98,11.99
san rafael,2020-05-27,AR,-34.62,-68.33,66.61,26,0,13.42
havoysund,2020-05-27,NO,71,24.66,50,76,75,5.82
nyurba,2020-05-27,RU,63.28,118.33,48.69,72,100,5.73
ancud,2020-05-27,CL,-41.87,-73.82,53.01,81,20,3.36
motygino,2020-05-27,RU,58.18,94.76,43.45,64,88,7.43
taoudenni,2020-05-27,ML,22.68,-3.98,108.39,6,0,8.75
lere,2020-05-27,NG,10.39,8.57,86.09,46,86,1.66
sisophon,2020-05-27,KH,13.59,102.97,82.51,76,77,6.69
katsuura,2020-05-27,JP,35.13,140.3,69.01,84,99,3
palana,2020-05-27,RU,59.12,159.97,31.55,94,6,6.08
dongsheng,2020-05-27,CN,39.82,109.98,62.98,28,15,12.73
sao felix do xingu,2020-05-27,BR,-6.64,-51.99,86.43,61,5,2.84
daliao,2020-05-27,PH,5.86,124.95,82.27,76,42,2.77
tiznit,2020-05-27,MA,29.58,-9.5,85.39,33,0,9.91
ust-kuyga,2020-05-27,RU,70.02,135.6,32.36,94,100,11.41
manta,2020-05-27,EC,-0.95,-80.73,78.8,78,20,10.29
